id,hall_id,hall_num
7297,208,24
7325,208,24
7295,208,24
7323,208,24
7319,208,24
7320,208,24
7316,208,24
7318,208,24
7314,208,24
7317,208,24
7296,208,24
7303,208,24
7304,208,24
7301,208,24
7311,208,24
7306,208,24
7313,208,24
7302,208,24
7305,208,24
7294,208,24
7299,208,24
7309,208,24
7300,208,24
7298,208,24
7329,208,24
7327,208,24
7330,208,24
7328,208,24
7312,208,24
7308,208,24
7310,208,24
7326,208,24
7307,208,24
7331,208,24
8737,190,5
8778,190,5
8777,190,5
8773,190,5
8747,190,5
8772,190,5
8746,190,5
8775,190,5
8774,190,5
8776,190,5
3672,191,6
3673,191,6
3671,191,6
3689,191,6
3712,191,6
3688,191,6
3687,191,6
3709,191,6
3684,191,6
3710,191,6
3685,191,6
3708,191,6
3686,191,6
3707,191,6
3682,191,6
3683,191,6
3705,191,6
7409,209,25
3934,209,25
3933,209,25
7421,209,25
7366,209,25
7405,209,25
7424,209,25
7415,209,25
7404,209,25
7376,209,25
7400,209,25
7402,209,25
7388,209,25
7387,209,25
7385,209,25
7375,209,25
3936,209,25
7386,209,25
7403,209,25
7225,209,25
7394,209,25
7381,209,25
7423,209,25
7384,209,25
7383,209,25
7407,209,25
7382,209,25
7432,209,25
7392,209,25
7429,209,25
7410,209,25
7416,209,25
8770,209,25
7401,209,25
7426,209,25
8766,209,25
7408,209,25
8763,209,25
7434,209,25
7435,209,25
7389,209,25
7372,209,25
7395,209,25
7406,209,25
7398,209,25
7380,209,25
7390,209,25
3932,209,25
7418,209,25
7433,209,25
7425,209,25
7379,209,25
7393,209,25
7436,209,25
7396,209,25
3935,209,25
7391,209,25
7373,209,25
7397,209,25
8767,209,25
7420,209,25
7431,209,25
7413,209,25
8765,209,25
8768,209,25
7422,209,25
7411,209,25
7417,209,25
7428,209,25
7412,209,25
8769,209,25
7427,209,25
7419,209,25
7430,209,25
7377,209,25
7368,209,25
7399,209,25
7371,209,25
7370,209,25
7367,209,25
7369,209,25
7414,209,25
7378,209,25
7374,209,25
4953,158,22
6581,158,22
6582,158,22
6583,158,22
6584,158,22
6586,158,22
6585,158,22
6588,158,22
6587,158,22
6589,158,22
6590,158,22
4215,158,22
4894,158,22
6301,194,9
5473,194,9
6226,194,9
6228,194,9
6229,194,9
6004,194,9
6151,194,9
6152,194,9
6171,194,9
6268,194,9
6240,194,9
6241,194,9
6306,194,9
6168,194,9
6187,194,9
6188,194,9
6189,194,9
6167,194,9
6177,194,9
6176,194,9
7151,194,9
6163,194,9
6164,194,9
6247,194,9
6250,194,9
6252,194,9
6282,194,9
6303,194,9
6238,194,9
6902,194,9
6160,194,9
4834,193,8
4841,193,8
4835,193,8
6568,193,8
5233,193,8
4838,193,8
5239,193,8
5242,193,8
5230,193,8
5243,193,8
5244,193,8
5245,193,8
5222,193,8
5482,193,8
5483,193,8
5247,193,8
5224,193,8
5480,193,8
4842,193,8
5481,193,8
5493,193,8
